nodes,edge_prob,runtime
16,0.8,0.00042039999971166253
16,0.8,0.0004023999936180189
16,0.8,0.0004293999954825267
16,0.8,0.0004098000063095242
16,0.8,0.0004307000053813681
16,0.8,0.0004406000080052763
16,0.8,0.0004104000108782202
16,1.0,0.0005240000027697533
16,1.0,0.0005424000119091943
16,1.0,0.0005079999973531812
16,1.0,0.0004966999986208975
16,1.0,0.0005068999889772385
16,1.0,0.0005062999989604577
16,1.0,0.0005084000003989786
16,1.0,0.0005055999936303124
16,1.0,0.000493799991090782
16,1.0,0.0004996000061510131
32,0.1,0.00021690000721719116
32,0.1,0.00021630000264849514
32,0.1,0.0002268999960506335
32,0.1,0.00027289999707136303
32,0.1,0.0002570000069681555
32,0.1,0.00014450000890064985
32,0.1,0.00013919999764766544
32,0.1,0.00017479999223724008
32,0.1,8.620000153314322e-05
32,0.1,0.0002182000025641173
32,0.2,0.0004606000002240762
32,0.2,0.00044180000259075314
32,0.2,0.00048600000445730984
32,0.2,0.000391999987186864
32,0.2,0.0004276999970898032
32,0.2,0.0004172000044491142
32,0.2,0.0004349000082584098
32,0.2,0.0004437000025063753
32,0.2,0.0003954999992856756
32,0.2,0.00039600000309292227
32,0.4,0.0009965000062948093
32,0.4,0.0008474000060232356
32,0.4,0.0009140999900409952
32,0.4,0.0009066999919014052
32,0.4,0.0009579000034136698
32,0.4,0.0008760999917285517
32,0.4,0.0009381999989273027
32,0.4,0.000836499995784834
32,0.4,0.0008854000043356791
32,0.4,0.0008825999975670129
32,0.6,0.0012564999924506992
32,0.6,0.001305699988733977
32,0.6,0.0012349000026006252
32,0.6,0.0013214999926276505
32,0.6,0.001294599991524592
32,0.6,0.0013297999976202846
32,0.6,0.0012597000022651628
32,0.6,0.0013447999954223633
32,0.6,0.0012892000086139888
32,0.6,0.001265699989744462
32,0.8,0.0017401000077370554
32,0.8,0.001636999993934296
32,0.8,0.0016087999974843115
32,0.8,0.0016619000089121982
32,0.8,0.001648000004934147
32,0.8,0.00166680000256747
32,0.8,0.0016797999996924773
32,0.8,0.0016727999900467694
32,0.8,0.0016548000130569562
32,0.8,0.0016998000064631924
32,1.0,0.002055600009043701
32,1.0,0.0020798000041395426
32,1.0,0.002070799993816763
32,1.0,0.0020755000005010515
32,1.0,0.002053799995337613
32,1.0,0.0020573000074364245
32,1.0,0.002064800006337464
32,1.0,0.0021053999953437597
32,1.0,0.0020380000059958547
32,1.0,0.0020425999973667786
64,0.1,0.0009107000078074634
64,0.1,0.0008719000034034252
64,0.1,0.0008832000021357089
64,0.1,0.0006247999990591779
64,0.1,0.0009854000090854242
64,0.1,0.0008969999908003956
64,0.1,0.0008270000107586384
64,0.1,0.0008259000023826957
64,0.1,0.00061860001005698
64,0.1,0.0007547999994130805
64,0.2,0.0018278000061400235
64,0.2,0.0019070999987889081
64,0.2,0.0016964999958872795
64,0.2,0.0017520000110380352
64,0.2,0.001709899996058084
64,0.2,0.0016522999940207228
64,0.2,0.0017994999943766743
64,0.2,0.0018856000097002834
64,0.2,0.0016842000040924177
64,0.2,0.001736000005621463
64,0.4,0.0035527000000001863
64,0.4,0.0035210000060033053
64,0.4,0.003646500001195818
64,0.4,0.0036155999987386167
64,0.4,0.0034607999987201765
64,0.4,0.003497800003970042
64,0.4,0.003274899994721636
64,0.4,0.003504599997540936
64,0.4,0.003484999993816018
64,0.4,0.003550800000084564
64,0.6,0.005150600001798011
64,0.6,0.0052318999951239675
64,0.6,0.005089199999929406
64,0.6,0.005116900007124059
64,0.6,0.005034700006945059
64,0.6,0.005223999993177131
64,0.6,0.005094399995869026
64,0.6,0.005120999994687736
64,0.6,0.005124099989188835
64,0.6,0.0052601999923354015
64,0.8,0.006928300004801713
64,0.8,0.006854700011899695
64,0.8,0.006887900002766401
64,0.8,0.00686360000690911
64,0.8,0.006899499989231117
64,0.8,0.006881699999212287
64,0.8,0.006923499997355975
64,0.8,0.005313600006047636
64,0.8,0.005332600005203858
64,0.8,0.005262199993012473
64,1.0,0.00657159999536816
64,1.0,0.00656429999799002
64,1.0,0.0065233000059379265
